;Australia;Melbourne;TPG;;dc.dcmagnets.ru,dc.filimania.com,27.32.158.176,27.32.158.176:10017,dc.mside.net,dc.maxnet.ua,piknik-dc.ru,allavtovo.ru,dc.tiera.ru,favorite-hub.ru,dc.unionbest.org:4111,spammerws.net,178.49.3.57,hub.basarabia.biz,4local.ru,admindemon.ru,dc.magneto.by,188.134.7.30,188.134.5.250,sirius.gs,uncledif.no-ip.biz,dchub.vdnet.lt:4111,ch6.ru,era.myvnc.com:4111,imperium.servepics.com:2009,rechub.ru,twister.constantahub.eu:433,vic.favorite-hub.ru:7777,iliuzija.no-ip.info:9999,laperla.no-ip.org,bumbarashka.sytes.net,dc.gw.lt:7777,dc.raindc.lt,dchub.iti.lt,evolution-ng.info:7272,gelmes.net:6666,109.111.187.7,178.130.19.29,188.134.12.37,188.35.8.10,193.169.33.96,1g-dagestan.ru,212.12.19.254,212.12.20.233,212.12.27.180,212.12.31.71,212.26.252.188,213.108.170.35,213.141.148.157,217.76.190.196,55hub.ru:414,77.223.93.11,79.120.85.69,80.92.105.240,85.118.227.211,85.159.41.8,87.224.205.144,87.251.167.84,88.85.195.21,88.85.203.203,88.85.220.199,89.151.140.14,89.179.124.237,89.179.127.241,89.179.73.44:1411,89.191.243.19,89.222.181.178,89.223.26.246,89.31.117.58,91.192.190.158,91.205.239.160,92.248.241.192,93.186.105.210:777,94.251.56.192,94.26.145.94,95.154.96.253,aartprof.ru:4111,admins.no-ip.org:31337,admiral.dchab.com,adrenalin-kemerovo.ru,advokat.no-ip.biz,alatyr.no-ip.info,alien-hub.pp.ua:41111,amglan.ru,anarhiya.org,angel.karumo.pp.ru,flylinkdc.dyndns.org
;Brazil;Campo Grande;OI Telecom;;mochileiroshqs.no-ip.org:1209
;Brazil;São Paulo;Vivo;;dc.vasco.srv.br:411
;Bulgaria;Велико Търново;Мегалан;;derby.zapto.org:1209
;Bulgaria;София;Megalan Network Ltd;;megalan.no-ip.info:411
;Italy;Roma;Fastweb;;smartphonehub.no-ip.info:4111
;Korea;Seoul;KOngju;;konju.net
;Poland;Myslowice;Netico;;dc.live.netico.pl
;Romania;Brasov;Rds;;international.dc-hub.net:411
;Spain;Barakaldo;Euskatel;;adcs://dc.ekparty.org:2780
;USA;Dallas;123systems;;dcbee.pp.ua
;USA;Torrance;CoolVDS;;outlaw.pshub.net:666
;Uzbekistan;Tashkent;Fibernet;;dc.fibernet.uz,Macl1n.St1mul.uz,hub.thegame.uz
;Uzbekistan;Tashkent;Turontelecom;;algoritm.uz
;Азербайджан;Баку;Bakcell;;dost.az
;Азербайджан;Баку;Bakinternet;;kinoman.vip
;Азербайджан;Баку;SISTEMA MMC;;192.168.1.44
;Беларусь;Барановичи;Byfly;;BaranovHab.by
;Беларусь;Бел.Ж.Д.;ЕСПД;;asut.gbas.gomel.rw,10.4.253.103
;Беларусь;Брест;Bstu-by;;172.16.1.129,172.16.1.29
;Беларусь;Брест;ByFly;;10.37.5.189
;Беларусь;Брест;Elnet;;dchub.elnet.by
;Беларусь;Брест;ТвСат;ТвСат;172.16.0.201
;Беларусь;Брест;Элнет;;dchubdchub.elnet.by
;Беларусь;Вилейка;VileikaNet;;192.168.0.10:1209
;Беларусь;Витебск;Byfly;;dchub.by
;Беларусь;Витебск;Pravda;;192.168.0.222,192.168.1.222
